MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,25457.0,5176.0,6,2688.0,12758,"Kona, HI",KOA,14747,"Seattle, WA",SEA,Delta Air Lines Inc.,DL,1,1,2025
0.0,2.0,5178.0,1,134.0,11298,"Dallas/Fort Worth, TX",DFW,11982,"Killeen, TX",GRK,Envoy Air,MQ,1,1,2025
0.0,8592.0,5178.0,5,2378.0,14747,"Seattle, WA",SEA,14100,"Philadelphia, PA",PHL,Alaska Airlines Inc.,AS,1,1,2025
0.0,5794.0,5181.0,1,462.0,10693,"Nashville, TN",BNA,14122,"Pittsburgh, PA",PIT,Southwest Airlines Co.,WN,1,1,2025
0.0,68.0,5182.0,3,1183.0,14635,"Fort Myers, FL",RSW,13342,"Milwaukee, WI",MKE,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5183.0,4,1585.0,10732,"Aguadilla, PR",BQN,11618,"Newark, NJ",EWR,United Air Lines Inc.,UA,1,1,2025
0.0,3574.0,5183.0,1,335.0,11057,"Charlotte, NC",CLT,11193,"Cincinnati, OH",CVG,PSA Airlines Inc.,OH,1,1,2025
7249.0,9829.0,5187.0,5,2454.0,12478,"New York, NY",JFK,14057,"Portland, OR",PDX,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5189.0,3,1072.0,13204,"Orlando, FL",MCO,13198,"Kansas City, MO",MCI,Spirit Air Lines,NK,1,1,2025
0.0,0.0,5190.0,1,423.0,11292,"Denver, CO",DEN,13029,"Lincoln, NE",LNK,SkyWest Airlines Inc.,OO,1,1,2025
0.0,0.0,5191.0,5,2378.0,13796,"Oakland, CA",OAK,12758,"Kona, HI",KOA,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5192.0,1,108.0,13485,"Madison, WI",MSN,13930,"Chicago, IL",ORD,SkyWest Airlines Inc.,OO,1,1,2025
